Configure,Int Power,Switch Power,Leak Power,Total Power
PRTEDConfig283-benchmarks-whetstone.riscv,7.96e-02,1.08e-02,4.40e-03,9.48e-02
PRTEDConfig284-benchmarks-mt-vvadd.riscv,6.69e-02,1.17e-02,3.24e-03,8.18e-02
PRTEDConfig284-benchmarks-whetstone.riscv,6.55e-02,9.58e-03,3.26e-03,7.84e-02
PRTEDConfig285-benchmarks-mt-vvadd.riscv,7.77e-02,1.27e-02,4.12e-03,9.46e-02
PRTEDConfig285-benchmarks-whetstone.riscv,7.78e-02,1.06e-02,4.15e-03,9.25e-02
PRTEDConfig286-benchmarks-mt-vvadd.riscv,6.20e-02,7.77e-03,3.40e-03,7.32e-02
PRTEDConfig286-benchmarks-whetstone.riscv,6.38e-02,6.34e-03,3.43e-03,7.35e-02
PRTEDConfig287-benchmarks-mt-vvadd.riscv,5.75e-02,7.85e-03,3.51e-03,6.89e-02
PRTEDConfig287-benchmarks-whetstone.riscv,5.84e-02,6.51e-03,3.53e-03,6.85e-02
PRTEDConfig288-benchmarks-mt-vvadd.riscv,7.34e-02,1.05e-02,3.96e-03,8.79e-02
PRTEDConfig288-benchmarks-whetstone.riscv,7.55e-02,9.54e-03,3.98e-03,8.90e-02
PRTEDConfig289-benchmarks-mt-vvadd.riscv,9.19e-02,1.34e-02,5.59e-03,0.111
PRTEDConfig289-benchmarks-whetstone.riscv,9.29e-02,1.18e-02,5.62e-03,0.110
PRTEDConfig290-benchmarks-mt-vvadd.riscv,7.63e-02,1.14e-02,3.67e-03,9.13e-02
PRTEDConfig290-benchmarks-whetstone.riscv,7.61e-02,9.95e-03,3.68e-03,8.97e-02
PRTEDConfig291-benchmarks-mt-vvadd.riscv,7.38e-02,1.27e-02,4.26e-03,9.08e-02
PRTEDConfig291-benchmarks-whetstone.riscv,7.37e-02,1.09e-02,4.29e-03,8.89e-02
PRTEDConfig292-benchmarks-mt-vvadd.riscv,4.63e-02,6.25e-03,2.49e-03,5.50e-02
PRTEDConfig292-benchmarks-whetstone.riscv,4.86e-02,5.79e-03,2.50e-03,5.69e-02
PRTEDConfig293-benchmarks-mt-vvadd.riscv,9.47e-02,1.52e-02,4.85e-03,0.115
PRTEDConfig293-benchmarks-whetstone.riscv,9.42e-02,1.27e-02,4.89e-03,0.112
PRTEDConfig294-benchmarks-mt-vvadd.riscv,7.77e-02,1.28e-02,4.18e-03,9.47e-02
PRTEDConfig294-benchmarks-whetstone.riscv,7.64e-02,1.05e-02,4.21e-03,9.11e-02
