Configure,Int Power,Switch Power,Leak Power,Total Power
CRTEDConfig295-benchmarks-whetstone.riscv,9.87e-02,1.83e-02,4.94e-03,0.122
CRTEDConfig301-benchmarks-mt-vvadd.riscv,6.47e-02,9.80e-03,3.21e-03,7.77e-02
CRTEDConfig301-benchmarks-whetstone.riscv,6.65e-02,9.15e-03,3.22e-03,7.89e-02
CRTEDConfig302-benchmarks-mt-vvadd.riscv,5.50e-02,6.88e-03,3.30e-03,6.52e-02
CRTEDConfig302-benchmarks-whetstone.riscv,5.66e-02,6.07e-03,3.31e-03,6.60e-02
CRTEDConfig303-benchmarks-mt-vvadd.riscv,6.28e-02,9.85e-03,3.50e-03,7.62e-02
CRTEDConfig303-benchmarks-whetstone.riscv,6.41e-02,9.23e-03,3.51e-03,7.68e-02
CRTEDConfig304-benchmarks-mt-vvadd.riscv,6.65e-02,1.00e-02,3.29e-03,7.98e-02
CRTEDConfig304-benchmarks-whetstone.riscv,6.83e-02,9.64e-03,3.29e-03,8.12e-02
CRTEDConfig305-benchmarks-mt-vvadd.riscv,5.47e-02,6.31e-03,3.14e-03,6.41e-02
CRTEDConfig305-benchmarks-whetstone.riscv,5.63e-02,5.59e-03,3.15e-03,6.50e-02
CRTEDConfig306-benchmarks-mt-vvadd.riscv,6.59e-02,1.01e-02,3.66e-03,7.97e-02
CRTEDConfig306-benchmarks-whetstone.riscv,6.82e-02,9.60e-03,3.68e-03,8.15e-02
CRTEDConfig307-benchmarks-mt-vvadd.riscv,5.55e-02,9.13e-03,2.61e-03,6.72e-02
CRTEDConfig307-benchmarks-whetstone.riscv,5.80e-02,9.00e-03,2.62e-03,6.96e-02
CRTEDConfig308-benchmarks-mt-vvadd.riscv,5.37e-02,6.90e-03,2.65e-03,6.33e-02
CRTEDConfig308-benchmarks-whetstone.riscv,5.56e-02,6.29e-03,2.66e-03,6.46e-02
CRTEDConfig309-benchmarks-mt-vvadd.riscv,4.92e-02,6.09e-03,2.51e-03,5.78e-02
CRTEDConfig309-benchmarks-whetstone.riscv,5.15e-02,5.69e-03,2.52e-03,5.97e-02
CRTEDConfig310-benchmarks-mt-vvadd.riscv,6.15e-02,9.43e-03,3.74e-03,7.47e-02
CRTEDConfig310-benchmarks-whetstone.riscv,6.36e-02,9.12e-03,3.76e-03,7.65e-02
CRTEDConfig311-benchmarks-mt-vvadd.riscv,6.97e-02,1.03e-02,3.25e-03,8.32e-02
CRTEDConfig311-benchmarks-whetstone.riscv,7.05e-02,9.55e-03,3.26e-03,8.33e-02
CRTEDConfig312-benchmarks-mt-vvadd.riscv,4.07e-02,6.47e-03,1.97e-03,4.92e-02
CRTEDConfig312-benchmarks-whetstone.riscv,4.28e-02,5.59e-03,1.98e-03,5.04e-02
