Configure,Int Power,Switch Power,Leak Power,Total Power
LargeBoomSEConfig-benchmarks-dhrystone.riscv,2.39e-02,6.26e-03,3.60e-03,3.37e-02
LargeBoomSEConfig-benchmarks-mergesort.riscv,2.13e-02,4.75e-03,3.57e-03,2.96e-02
LargeBoomSEConfig-benchmarks-mm.riscv,2.19e-02,4.35e-03,3.63e-03,2.99e-02
LargeBoomSEConfig-benchmarks-expint.riscv,1.71e-02,2.14e-03,3.57e-03,2.28e-02
LargeBoomSEConfig-benchmarks-rsort.riscv,2.46e-02,6.17e-03,3.60e-03,3.44e-02
LargeBoomSEConfig-benchmarks-frac.riscv,1.88e-02,2.94e-03,3.57e-03,2.53e-02
LargeBoomSEConfig-benchmarks-qsort.riscv,2.29e-02,5.66e-03,3.60e-03,3.22e-02
LargeBoomSEConfig-benchmarks-fft.riscv,2.02e-02,3.71e-03,3.62e-03,2.75e-02
LargeBoomSEConfig-benchmarks-h264_dec.riscv,2.11e-02,4.59e-03,3.57e-03,2.92e-02
LargeBoomSEConfig-benchmarks-rv64ui-p-xori_200,2.40e-02,5.86e-03,3.56e-03,3.34e-02
LargeBoomSEConfig-benchmarks-lift.riscv,2.42e-02,6.17e-03,3.57e-03,3.40e-02
LargeBoomSEConfig-benchmarks-add_fp_large.riscv,1.76e-02,2.14e-03,3.55e-03,2.33e-02
LargeBoomSEConfig-benchmarks-add_fp.riscv,1.76e-02,2.13e-03,3.55e-03,2.33e-02
LargeBoomSEConfig-benchmarks-ndes.riscv,2.05e-02,4.09e-03,3.58e-03,2.82e-02
LargeBoomSEConfig-benchmarks-fibonacci.riscv,2.06e-02,3.74e-03,3.56e-03,2.79e-02
LargeBoomSEConfig-benchmarks-rv64ui-p-bne_200,2.31e-02,5.47e-03,3.55e-03,3.21e-02
LargeBoomSEConfig-benchmarks-bubblesort.riscv,2.50e-02,7.15e-03,3.60e-03,3.57e-02
LargeBoomSEConfig-benchmarks-branchy_large.riscv,1.68e-02,1.71e-03,3.52e-03,2.20e-02
LargeBoomSEConfig-benchmarks-branchy.riscv,1.68e-02,1.71e-03,3.52e-03,2.20e-02
LargeBoomSEConfig-benchmarks-prime.riscv,1.78e-02,2.42e-03,3.55e-03,2.38e-02
LargeBoomSEConfig-benchmarks-sqrt.riscv,1.89e-02,3.01e-03,3.62e-03,2.55e-02
LargeBoomSEConfig-benchmarks-lms.riscv,2.28e-02,5.28e-03,3.63e-03,3.18e-02
LargeBoomSEConfig-benchmarks-hello_world_large.riscv,2.09e-02,3.85e-03,3.59e-03,2.84e-02
LargeBoomSEConfig-benchmarks-cnt.riscv,1.80e-02,2.83e-03,3.55e-03,2.44e-02
LargeBoomSEConfig-benchmarks-complex_updates.riscv,1.68e-02,1.78e-03,3.52e-03,2.21e-02
LargeBoomSEConfig-benchmarks-bitonic.riscv,1.88e-02,3.01e-03,3.55e-03,2.53e-02
LargeBoomSEConfig-benchmarks-select.riscv,1.75e-02,2.22e-03,3.53e-03,2.33e-02
