Configure,Int Power,Switch Power,Leak Power,Total Power
Config114-benchmarks-fft.riscv,6.92e-02,1.10e-02,3.31e-03,8.35e-02
Config115-benchmarks-whetstone.riscv,6.96e-02,9.97e-03,3.97e-03,8.35e-02
Config115-benchmarks-mt-vvadd.riscv,7.19e-02,1.24e-02,3.95e-03,8.82e-02
Config115-benchmarks-fft.riscv,7.49e-02,1.42e-02,4.02e-03,9.32e-02
Config115-benchmarks-h264_dec.riscv,8.41e-02,2.04e-02,3.96e-03,0.108
Config116-benchmarks-whetstone.riscv,7.59e-02,1.10e-02,4.37e-03,9.13e-02
Config116-benchmarks-mt-vvadd.riscv,7.56e-02,1.20e-02,4.34e-03,9.20e-02
Config116-benchmarks-fft.riscv,8.17e-02,1.52e-02,4.43e-03,0.101
Config116-benchmarks-h264_dec.riscv,8.42e-02,1.78e-02,4.34e-03,0.106
Config117-benchmarks-whetstone.riscv,6.29e-02,9.32e-03,2.84e-03,7.50e-02
Config117-benchmarks-mt-vvadd.riscv,6.08e-02,9.41e-03,2.83e-03,7.30e-02
Config118-benchmarks-whetstone.riscv,5.77e-02,5.98e-03,2.96e-03,6.67e-02
Config118-benchmarks-mt-vvadd.riscv,5.56e-02,6.49e-03,2.94e-03,6.51e-02
Config118-benchmarks-fft.riscv,5.85e-02,7.87e-03,3.00e-03,6.94e-02
Config119-benchmarks-whetstone.riscv,7.48e-02,9.91e-03,4.12e-03,8.89e-02
Config119-benchmarks-mt-vvadd.riscv,7.47e-02,1.20e-02,4.09e-03,9.07e-02
Config119-benchmarks-fft.riscv,7.66e-02,1.27e-02,4.17e-03,9.35e-02
Config119-benchmarks-h264_dec.riscv,8.28e-02,1.75e-02,4.10e-03,0.104
Config120-benchmarks-whetstone.riscv,6.48e-02,9.59e-03,3.09e-03,7.75e-02
Config120-benchmarks-mt-vvadd.riscv,6.32e-02,1.08e-02,3.08e-03,7.71e-02
Config120-benchmarks-fft.riscv,6.74e-02,1.27e-02,3.12e-03,8.31e-02
Config121-benchmarks-whetstone.riscv,5.83e-02,6.88e-03,3.59e-03,6.88e-02
Config121-benchmarks-mt-vvadd.riscv,5.69e-02,7.93e-03,3.57e-03,6.84e-02
Config121-benchmarks-fft.riscv,6.35e-02,1.13e-02,3.63e-03,7.84e-02
Config121-benchmarks-h264_dec.riscv,6.53e-02,1.34e-02,3.57e-03,8.23e-02
Config122-benchmarks-whetstone.riscv,5.61e-02,5.71e-03,2.99e-03,6.48e-02
Config122-benchmarks-mt-vvadd.riscv,5.58e-02,7.18e-03,2.97e-03,6.60e-02
Config122-benchmarks-fft.riscv,5.92e-02,8.72e-03,3.03e-03,7.10e-02
Config122-benchmarks-h264_dec.riscv,6.29e-02,1.21e-02,2.98e-03,7.80e-02
Config123-benchmarks-whetstone.riscv,6.75e-02,9.67e-03,3.86e-03,8.10e-02
Config123-benchmarks-mt-vvadd.riscv,6.60e-02,1.03e-02,3.84e-03,8.01e-02
Config123-benchmarks-fft.riscv,7.03e-02,1.28e-02,3.91e-03,8.69e-02
Config124-benchmarks-whetstone.riscv,6.96e-02,9.74e-03,4.11e-03,8.35e-02
Config124-benchmarks-mt-vvadd.riscv,6.78e-02,1.01e-02,4.09e-03,8.21e-02
Config125-benchmarks-whetstone.riscv,6.24e-02,7.89e-03,3.48e-03,7.38e-02
Config125-benchmarks-mt-vvadd.riscv,6.29e-02,9.81e-03,3.45e-03,7.61e-02
Config125-benchmarks-fft.riscv,6.77e-02,1.21e-02,3.53e-03,8.33e-02
Config125-benchmarks-h264_dec.riscv,7.24e-02,1.55e-02,3.47e-03,9.15e-02
Config126-benchmarks-whetstone.riscv,7.62e-02,1.11e-02,4.42e-03,9.16e-02
Config126-benchmarks-mt-vvadd.riscv,7.69e-02,1.32e-02,4.38e-03,9.46e-02
Config126-benchmarks-fft.riscv,8.13e-02,1.53e-02,4.48e-03,0.101
Config126-benchmarks-h264_dec.riscv,8.87e-02,2.07e-02,4.39e-03,0.114
Config127-benchmarks-whetstone.riscv,6.62e-02,9.32e-03,3.17e-03,7.87e-02
Config127-benchmarks-mt-vvadd.riscv,6.44e-02,9.89e-03,3.15e-03,7.74e-02
Config127-benchmarks-fft.riscv,6.81e-02,1.18e-02,3.22e-03,8.31e-02
