fetchWidth,decodeWidth,numFetchBufferEntries,numRobEntries,numRasEntries,numIntPhysRegisters,numFpPhysRegisters,numLdqEntries,numStqEntries,maxBrCount,mem_issueWidth,int_issueWidth,fp_issueWidth,DCacheParams_nWays,DCacheParams_nMSHRs,DCacheParams_nTLBEntries,ICacheParams_nWays,ICacheParams_nTLBEntries,ICacheParams_fetchBytes,latency,power
4,4,32,128,24,112,112,24,24,12,1,3,1,4,8,16,8,32,2,41244.0,0.0811
4,1,8,64,16,80,80,24,24,20,2,4,2,4,8,16,2,32,2,41492.0,0.0694
4,1,24,130,16,96,96,8,8,20,2,5,2,2,2,8,2,16,2,41494.0,0.0708
8,4,32,96,16,80,80,8,8,20,2,1,2,8,2,16,2,32,4,41251.0,0.0973
8,1,40,96,32,64,64,16,16,16,2,5,2,4,4,32,4,8,4,41467.0,0.0819
4,1,16,128,16,80,80,24,24,8,2,4,2,4,4,32,8,8,2,41482.0,0.0655
8,1,24,64,24,112,112,16,16,8,2,2,2,4,2,16,2,8,4,41472.0,0.0743
4,2,40,130,16,96,96,8,8,8,1,1,1,2,2,16,4,16,2,41574.0,0.056
8,4,16,32,32,80,80,24,24,20,2,5,2,8,2,16,4,32,4,41263.0,0.10400000000000001
8,2,32,128,24,80,80,16,16,12,2,2,2,2,8,16,4,32,4,41226.0,0.083
4,2,8,128,24,80,80,24,24,20,1,3,1,4,8,32,8,32,2,41422.0,0.0723
4,2,8,96,16,48,48,8,8,20,1,4,1,2,8,16,2,8,2,41532.0,0.0621
4,2,40,128,24,48,48,16,16,20,1,3,1,4,8,16,8,32,2,41491.0,0.067
4,4,40,96,16,112,112,8,8,12,2,1,2,8,2,32,8,8,2,41294.0,0.0764
4,1,40,32,32,80,80,32,32,16,2,1,2,8,8,16,4,8,2,41503.0,0.0667
4,1,8,130,24,112,112,24,24,20,2,2,2,8,8,16,8,16,2,41488.0,0.0786
8,1,16,130,32,96,96,24,24,12,2,3,2,4,4,8,8,8,4,41466.0,0.0848
8,1,32,128,24,96,96,16,16,16,1,1,1,2,2,16,4,16,4,41710.0,0.0773
4,4,32,96,32,64,64,16,16,12,1,3,1,2,8,16,4,8,2,41295.0,0.0705
4,1,40,130,16,112,112,8,8,20,1,4,1,2,2,32,2,8,2,41706.0,0.0673
8,1,24,128,16,112,112,16,16,20,1,3,1,4,8,16,4,8,4,41682.0,0.0862
4,2,24,128,24,96,96,16,16,16,2,3,2,8,8,32,4,32,2,41230.0,0.0749
8,4,24,128,16,96,96,16,16,12,1,4,1,8,8,32,8,8,4,41218.0,0.0967
4,1,24,96,32,48,48,8,8,8,2,4,2,2,4,16,2,32,2,41499.0,0.0559
