episode,perf,power,area,mean-perf,mean-power,mean-area,max-perf,max-power,max-area,min-perf,min-power,min-area
199,0.174984,-0.797794,0.065078,0.157782,-0.715651,0.062469,0.174984,0.023638,0.065078,0.00297,-0.797794,0.03899
200,0.174984,-0.797794,0.065078,0.157782,-0.715651,0.062469,0.174984,0.023638,0.065078,0.00297,-0.797794,0.03899
201,0.174984,-0.797794,0.065078,0.157782,-0.715651,0.062469,0.174984,0.023638,0.065078,0.00297,-0.797794,0.03899
202,0.002931,0.031483,0.054381,0.140577,-0.632723,0.061399,0.174984,0.031483,0.065078,0.002931,-0.797794,0.03899
203,-0.009659,0.022038,0.024353,0.122113,-0.55074,0.057327,0.174984,0.031483,0.065078,-0.009659,-0.797794,0.024353
204,0.174984,-0.797794,0.065078,0.139314,-0.632883,0.059935,0.174984,0.031483,0.065078,-0.009659,-0.797794,0.024353
205,0.174984,-0.797794,0.065078,0.139314,-0.632883,0.059935,0.174984,0.031483,0.065078,-0.009659,-0.797794,0.024353
206,0.174984,-0.797794,0.065078,0.139314,-0.632883,0.059935,0.174984,0.031483,0.065078,-0.009659,-0.797794,0.024353
207,0.174984,-0.797794,0.065078,0.139314,-0.632883,0.059935,0.174984,0.031483,0.065078,-0.009659,-0.797794,0.024353
208,0.174984,-0.797794,0.065078,0.139314,-0.632883,0.059935,0.174984,0.031483,0.065078,-0.009659,-0.797794,0.024353
209,0.174984,-0.797794,0.065078,0.139314,-0.632883,0.059935,0.174984,0.031483,0.065078,-0.009659,-0.797794,0.024353
210,0.174984,-0.797794,0.065078,0.139314,-0.632883,0.059935,0.174984,0.031483,0.065078,-0.009659,-0.797794,0.024353
211,0.174984,-0.797794,0.065078,0.139314,-0.632883,0.059935,0.174984,0.031483,0.065078,-0.009659,-0.797794,0.024353
212,0.174984,-0.797794,0.065078,0.156519,-0.715811,0.061005,0.174984,0.022038,0.065078,-0.009659,-0.797794,0.024353
