idx median-instructions median-cycles   median-ipc  towers-instructions towers-cycles   towers-ipc  vvadd-instructions  vvadd-cycles    vvadd-ipc   multiply-instructions   multiply-cycles multiply-ipc    median-power    towers-power    vvadd-power multiply-power  area
386 4579    4767    /   8791    8646    /   6514    3978    /   48788   29741   /   0.0965  0.0953  0.0939 0.102   4109061.972
387 4579    7107    /   8791    11069   /   6514    8716    /   48788   60590   /   0.096   0.0949  0.0936 0.0988  3989734.143
388 4579    11930   /   8791    10135   /   6514    4743    /   48788   52665   /   0.055   0.0538  0.0528 0.0595  2430908.274
389 4579    6249    /   8791    10241   /   6514    8095    /   48788   57328   /   0.0539  0.0537  0.0525 0.0585  1946811.995
390 4579    9772    /   8791    10368   /   6514    6845    /   48788   64063   /   0.0523  0.0524  0.0513 0.055   1897523.038
391 4579    4828    /   8791    5764    /   6514    2701    /   48788   29414   /   0.102   0.101   0.0993 0.108   4628668.571
392 4579    7592    /   8791    5767    /   6514    3251    /   48788   43096   /   0.0854  0.0851  0.0831 0.0892  4153307.891
393 4579    5131    /   8791    8254    /   6514    4013    /   48788   31177   /   0.0901  0.0893  0.0874 0.0946  3178300.17
394 4579    12194   /   8791    9211    /   6514    5453    /   48788   65830   /   0.0526  0.0525  0.0514 0.0559  2036563.04
395 4579    13091   /   8791    11617   /   6514    7331    /   48788   67959   /   0.0418  0.0413  0.0405 00.0447 1686538.247
396 4579    0   /   8791    0   /   6514    0   /   48788   0   /   0   0   0  0   3366442.295
397 4579    7592    /   8791    6634    /   6514    4428    /   48788   43180   /   0.062   0.0612  0.06   0.0662  3037881.124
398 4579    7807    /   8791    8291    /   6514    4046    /   48788   43267   /   0.0586  0.058   0.0561 0.0623  2626387.989
399 4579    12194   /   8791    9318    /   6514    5665    /   48788   65835   /   0.0422  0.0418  0.041  0.0449  1741185.537
400 4579    13091   /   8791    10408   /   6514    6933    /   48788   67908   /   0.053   0.0528  0.0519 0.056   1960763.536
401 4579    4914    /   8791    5907    /   6514    2950    /   48788   29697   /   0.102   0.101   0.099  0.107   4259985.913
402 4579    4982    /   8791    6348    /   6514    4329    /   48788   32853   /   0.089   0.0878  0.0864 0.094   3655658.402
403 4579    11982   /   8791    8410    /   6514    3881    /   48788   52608   /   0.0636  0.0631  0.0615 0.0686  2769825.828
404 4579    5758    /   8791    8462    /   6514    4204    /   48788   41442   /   0.0638  0.0637  0.0622 0.0682  2242538.523
405 4579    7152    /   8791    10029   /   6514    6840    /   48788   60870   /   0.0564  0.0562  0.0547 0.0608  2095005.524
406 4579    7447    /   8791    6071    /   6514    3339    /   48788   43164   /   0.0765  0.0755  0.0739 0.0804  3724322.855
407 4579    4770    /   8791    5917    /   6514    2861    /   48788   29624   /   0.0997  0.0987  0.0967 0.105   4425358.866
408 4579    12121   /   8791    10866   /   6514    8467    /   48788   60911   /   0.0579  0.0569  0.0557 0.061   2572121.092
409 4579    12186   /   8791    10693   /   6514    5744    /   48788   65867   /   0.0438  0.0432  0.0423 0.0471  1832696.007
410 4579    9772    /   8791    10424   /   6514    6860    /   48788   64086   /   0.0534  0.0533  0.0522 0.0565  2025891.458
411 4579    11638   /   8791    6816    /   6514    4655    /   48788   52390   /   0.0632  0.0621  0.0607 0.0679  3180588.996
412 4579    11407   /   8791    5738    /   6514    3676    /   48788   52019   /   0.117   0.117   0.115  0.122   4410942.011
413 4579    11913   /   8791    8789    /   6514    4030    /   48788   52296   /   0.0593  0.0584  0.0573 0.0635  2520586.41
414 4579    12186   /   8791    8944    /   6514    5344    /   48788   65833   /   0.0519  0.0517  0.0506 0.0549  2080544.741
415 4579    13160   /   8791    11634   /   6514    7331    /   48788   68679   /   0.039   0.0384  0.0377 0.0423  1567469.416
416 4579    0   /   8791    0   /   6514    0   /   48788   0   /   0   0   0  0   3598092.241
417 4579    11951   /   8791    12472   /   6514    8807    /   48788   64482   /   0.0603  0.0589  0.0582 0.0633  3014519.718
418 4579    5227    /   8791    8513    /   6514    3879    /   48788   31125   /   0.0959  0.0946  0.0932 0.1 3387609.54
419 4579    8734    /   8791    11625   /   6514    8059    /   48788   61045   /   0.0353  0.0348  0.034  0.0386  1536599.558
420 4579    13160   /   8791    10535   /   6514    6918    /   48788   67905   /   0.0432  0.0427  0.0417 0.0464  1674228.622
421 4579    7447    /   8791    6136    /   6514    3310    /   48788   43155   /   0.0668  0.0659  0.0644 0.071   3549021.47
422 4579    11999   /   8791    11454   /   6514    8935    /   48788   64473   /   0.064   0.0629  0.0619 0.0669  3268626.954
423 4579    5010    /   8791    9625    /   6514    4485    /   48788   31139   /   0.0943  0.0928  0.0916 0.0993  3567301.591
424 4579    5790    /   8791    8895    /   6514    4399    /   48788   41424   /   0.0558  0.0556  0.0541 0.0613  1988956.319
425 4579    12717   /   8791    10559   /   6514    6929    /   48788   67883   /   0.051   0.0507  0.0499 0.0537  1925499.176
426 4579    11332   /   8791    6162    /   6514    3738    /   48788   52141   /   0.103   0.102   0.1    0.107   4101216.623
427 4579    11443   /   8791    6418    /   6514    4517    /   48788   52458   /   0.0672  0.0663  0.0649 0.0716  3280809.953
428 4579    11913   /   8791    8601    /   6514    3799    /   48788   52272   /   0.0696  0.069   0.0675 0.0741  2990493.173
429 4579    5671    /   8791    10365   /   6514    5111    /   48788   41950   /   0.0514  0.0509  0.0496 0.0569  2014383.331
